CD_MUN,SIGLA_UF,NM_MUN,NM_MUN_NORM,lat,long
1505809,PA,Portel,PORTEL,-2.5654290982627295,-50.95562440900627
1505908,PA,Porto de Moz,PORTO DE MOZ,-2.1845928638948098,-52.547750523528585
1506005,PA,Prainha,PRAINHA,-2.1202452705975707,-53.66017206010959
1506104,PA,Primavera,PRIMAVERA,-0.9526865360659532,-47.13147439000639
1506112,PA,Quatipuru,QUATIPURU,-0.8600892431315303,-47.01553070031182
1506138,PA,Redenção,REDENCAO,-8.069328964748596,-50.198124056540685
1506161,PA,Rio Maria,RIO MARIA,-7.34063279442704,-49.89514344138503
1506187,PA,Rondon do Pará,RONDON DO PARA,-4.5169274723957455,-48.46003673616409
1506195,PA,Rurópolis,RUROPOLIS,-4.241042514143818,-55.21074007553128
1506203,PA,Salinópolis,SALINOPOLIS,-0.6839545901799985,-47.3517023017549
1506302,PA,Salvaterra,SALVATERRA,-0.7966236374098701,-48.62998389119485
1506351,PA,Santa Bárbara do Pará,SANTA BARBARA DO PARA,-1.194335572438194,-48.25051696479211
1506401,PA,Santa Cruz do Arari,SANTA CRUZ DO ARARI,-0.5833500364365891,-49.313859037512195
1506500,PA,Santa Izabel do Pará,SANTA IZABEL DO PARA,-1.365206765444182,-48.129307415153995
1506559,PA,Santa Luzia do Pará,SANTA LUZIA DO PARA,-1.6566344134182602,-46.92691694816262
1506583,PA,Santa Maria das Barreiras,SANTA MARIA DAS BARREIRAS,-8.633787535812399,-50.31437023912505
1506609,PA,Santa Maria do Pará,SANTA MARIA DO PARA,-1.3744852784049022,-47.521642109536074
1506708,PA,Santana do Araguaia,SANTANA DO ARAGUAIA,-9.364055728226258,-50.611281715224905
1506807,PA,Santarém,SANTAREM,-2.6793362936263647,-55.23845547141105
1506906,PA,Santarém Novo,SANTAREM NOVO,-0.913343979418006,-47.33294661418407
1507003,PA,Santo Antônio do Tauá,SANTO ANTONIO DO TAUA,-1.0932558291955825,-48.182765463472656
1507102,PA,São Caetano de Odivelas,SAO CAETANO DE ODIVELAS,-0.8649251940693383,-48.02573306056871
1507151,PA,São Domingos do Araguaia,SAO DOMINGOS DO ARAGUAIA,-5.657595271444622,-48.7305944261564
1507201,PA,São Domingos do Capim,SAO DOMINGOS DO CAPIM,-1.8825652588135857,-47.7714874972105
1507300,PA,São Félix do Xingu,SAO FELIX DO XINGU,-7.233364915795974,-52.25269762823976
1507409,PA,São Francisco do Pará,SAO FRANCISCO DO PARA,-1.206000277220549,-47.74684435239563
1507458,PA,São Geraldo do Araguaia,SAO GERALDO DO ARAGUAIA,-6.189251145987275,-48.748222997149334
1507466,PA,São João da Ponta,SAO JOAO DA PONTA,-0.8704683985287993,-47.96446615841974
1507474,PA,São João de Pirabas,SAO JOAO DE PIRABAS,-0.7838005639846164,-47.21787286247942
1507508,PA,São João do Araguaia,SAO JOAO DO ARAGUAIA,-5.447322885480912,-48.69679179409614
1507607,PA,São Miguel do Guamá,SAO MIGUEL DO GUAMA,-1.5515323867479756,-47.610772516077354
1507706,PA,São Sebastião da Boa Vista,SAO SEBASTIAO DA BOA VISTA,-1.4341182751810588,-49.68028251084543
1507755,PA,Sapucaia,SAPUCAIA,-6.838887423605582,-49.56976977554398
1507805,PA,Senador José Porfírio,SENADOR JOSE PORFIRIO,-4.169711317394264,-51.77384897188674
1507904,PA,Soure,SOURE,-0.44791776123079685,-48.69775105842762
1507953,PA,Tailândia,TAILANDIA,-2.907818873801348,-48.73670062203789
